framework,repository,forks,stargazers,watchers,openedIssues,closedIssues,commits,openedPullRequests,closedPullRequests,updatedAt,projects,lifetime,lifetime per commit
Android,googlesamples/android-AutofillFramework,247,429,429,0,13,29,0,0,2020-05-04 07:19:24,0,1141,39.3448275862069
Android,googlesamples/android-play-location,2443,2023,2023,133,98,116,17,40,2020-05-05 22:53:50,0,2031,17.50862068965517
Android,googlesamples/google-services,2468,2567,2567,79,367,640,1,91,2020-05-06 10:33:59,0,1862,2.909375
Android,googlesamples/easypermissions,1312,8386,8386,7,290,177,1,106,2020-05-06 11:00:31,0,1601,9.045197740112995
Android,googlesamples/android-testing,2913,7275,7275,75,240,291,16,134,2020-05-06 13:57:48,0,1966,6.756013745704467
Android,googlesamples/android-Camera2Basic,1437,2584,2584,0,162,31,0,30,2020-05-06 09:14:45,0,2140,69.03225806451613
Android,googlesamples/android-credentials,198,207,207,0,40,27,0,13,2020-05-05 20:32:01,0,1804,66.81481481481481
Android,googlesamples/android-EmojiCompat,141,699,699,0,11,6,0,5,2020-04-26 09:44:55,0,1084,180.66666666666666
Android,googlesamples/android-instant-apps,295,848,848,0,56,51,0,11,2020-04-21 17:32:53,0,1084,21.254901960784313
Android,googlesamples/android-nearby,328,485,485,0,44,47,0,15,2020-05-02 17:35:56,0,1894,40.297872340425535
Android,googlesamples/android-AppUsageStatistics,100,292,292,12,4,21,4,1,2020-05-02 06:50:28,0,1968,93.71428571428571
Android,googlesamples/android-custom-lint-rules,97,510,510,6,19,30,0,12,2020-04-26 07:28:14,0,1763,58.766666666666666
Android,googlesamples/android-play-billing,1052,1384,1384,29,277,145,2,50,2020-05-05 19:52:17,0,1712,11.806896551724138
Android,googlesamples/android-vision,1760,2785,2785,312,142,77,16,27,2020-05-04 19:56:00,0,1793,23.285714285714285
Android,googlesamples/android-ads,293,239,239,0,15,50,0,3,2020-05-05 11:44:29,0,1855,37.1
Android,googlesamples/android-SpeedTracker,88,136,136,0,11,37,0,6,2020-02-16 11:33:49,0,2021,54.62162162162162
Android,googlesamples/android-BluetoothLeGatt,604,881,881,0,26,26,0,16,2020-05-04 01:48:11,0,2072,79.6923076923077
Android,googlesamples/android-Camera2Raw,177,376,376,0,24,18,0,6,2020-04-05 08:54:21,0,1804,100.22222222222223
Android,googlesamples/android-WifiRttScan,29,67,67,0,2,2,0,1,2020-02-16 15:11:43,0,617,308.5
Android,googlesamples/android-ActionBarCompat-ShareActionProvider,160,115,115,0,5,20,0,2,2020-03-17 03:03:27,0,2072,103.6
Android,googlesamples/android-testdpc,179,338,338,55,48,952,4,4,2020-05-03 16:02:46,0,1890,1.9852941176470589
Android,googlesamples/android-PictureInPicture,336,1409,1409,0,6,7,0,1,2020-04-28 09:28:17,0,1141,163.0
Android,googlesamples/android-ActivitySceneTransitionBasic,130,377,377,0,13,28,0,4,2020-05-02 16:11:36,0,2027,72.39285714285714
Android,googlesamples/android-Camera2Video,555,1149,1149,0,101,30,0,11,2020-05-03 08:13:17,0,2140,71.33333333333333
Android,googlesamples/android-Notifications,116,222,222,0,7,13,0,1,2020-04-30 16:57:40,0,1314,101.07692307692308
