AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
1.625,1.625,1.75,1.125,12.125,0.625,9.375,1.75,1.125,11.75,5.25,0.125,,2.25,0.875,,,,9.875,4.375,12.125,26.0,0.125,1.0,0.0,11.0,,161.875,18.75,83.25,30.375,47.0,60.625,,,,38.5,56.0,28.125,34.125,,,,,,4.0,4.0,4.875,1.75,,1.125,1.75,,40.5,39.0,1.27625,16.875,16.875,17.875,12.125,class,,,7ebc6e9c1864e877ea1d7e888571285b21c76dbf,2015-10-23 11:07:44-07:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,4.0,7ebc6e9c1864e877ea1d7e888571285b21c76dbf,2015-10-23 11:07:44-07:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,,,,,,,,,,,,,,,1.637362637362637,9.923076923076923,0.3846153846153846,6.461538461538462,2.032967032967033,3.956043956043956,3.131868131868132,2.9450549450549453,1.5384615384615383,0.0989010989010989,2.857142857142857,4.241758241758242,1.8571428571428568,2.923076923076923,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,0.3076923076923077,,,,,0.0989010989010989,,0.3076923076923077,0.0989010989010989,,,0.942087912087912,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,method,,,9187c6145c709502ca14ac0fa7e6821e0357d245,2015-10-29 14:35:18-07:00,0.0036625083921535,0.7061665891365272
1.625,1.625,1.75,1.125,12.125,0.625,9.375,1.75,1.125,11.75,5.25,0.125,,2.25,0.875,,,,9.875,4.375,12.125,26.0,0.125,1.0,0.0,11.0,,161.875,18.75,83.25,30.375,47.0,60.625,,,,38.5,56.0,28.125,34.125,,,,,,4.0,4.0,4.875,1.75,,1.125,1.75,,40.5,39.0,1.27625,16.875,16.875,17.875,12.125,class,,,9187c6145c709502ca14ac0fa7e6821e0357d245,2015-10-29 14:35:18-07:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,4.0,9187c6145c709502ca14ac0fa7e6821e0357d245,2015-10-29 14:35:18-07:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,,,,,,,,,,,,,,,1.637362637362637,9.923076923076923,0.3846153846153846,6.461538461538462,2.032967032967033,3.956043956043956,3.131868131868132,2.9450549450549453,1.5384615384615383,0.0989010989010989,2.857142857142857,4.241758241758242,1.8571428571428568,2.923076923076923,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,0.3076923076923077,,,,,0.0989010989010989,,0.3076923076923077,0.0989010989010989,,,0.942087912087912,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,method,,,d4d732469865d5dbea8f69e21164730bb12cf4d2,2015-12-28 10:52:23-08:00,0.0036625083921535,0.7061665891365272
1.625,1.625,1.75,1.125,12.125,0.625,9.375,1.75,1.125,11.75,5.25,0.125,,2.25,0.875,,,,9.875,4.375,12.125,26.0,0.125,1.0,0.0,11.0,,161.875,18.75,83.25,30.375,47.0,60.625,,,,38.5,56.0,28.125,34.125,,,,,,4.0,4.0,4.875,1.75,,1.125,1.75,,40.5,39.0,1.27625,16.875,16.875,17.875,12.125,class,,,d4d732469865d5dbea8f69e21164730bb12cf4d2,2015-12-28 10:52:23-08:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,4.0,d4d732469865d5dbea8f69e21164730bb12cf4d2,2015-12-28 10:52:23-08:00,0.0036625083921535,0.7061665891365272
,,,,,,,,,,,,,,,,,,,,,,,,,,1.637362637362637,9.923076923076923,0.3846153846153846,6.461538461538462,2.032967032967033,3.956043956043956,3.131868131868132,2.9450549450549453,1.5384615384615383,0.0989010989010989,2.857142857142857,4.241758241758242,1.8571428571428568,2.923076923076923,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,0.3076923076923077,,,,,0.0989010989010989,,0.3076923076923077,0.0989010989010989,,,0.942087912087912,1.4175824175824177,1.4175824175824177,1.5054945054945057,1.0,method,,,1091ea1bf1da55d4362f367ff39a6915d927de89,2015-12-28 10:52:57-08:00,0.0036625083921535,0.7061665891365272
1.625,1.625,1.75,1.125,12.125,0.625,9.375,1.75,1.125,11.75,5.25,0.125,,2.25,0.875,,,,9.875,4.375,12.125,26.0,0.125,1.0,0.0,11.0,,161.875,18.75,83.25,30.375,47.0,60.625,,,,38.5,56.0,28.125,34.125,,,,,,4.0,4.0,4.875,1.75,,1.125,1.75,,40.5,39.0,1.27625,16.875,16.875,17.875,12.125,class,,,1091ea1bf1da55d4362f367ff39a6915d927de89,2015-12-28 10:52:57-08:00,0.0036625083921535,0.7061665891365272
