AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,1.4736842105263157,10.052631578947368,1.631578947368421,5.842105263157895,0.7368421052631579,3.631578947368421,2.5789473684210527,1.5789473684210529,1.105263157894737,0.0,2.1578947368421053,3.684210526315789,1.368421052631579,2.3684210526315788,1.105263157894737,1.105263157894737,1.105263157894737,1.0,0.1052631578947368,,,,,0.0,,0.1052631578947368,0.0,,,0.5921052631578947,1.105263157894737,1.105263157894737,1.105263157894737,1.0,method,,,378466f35dfe1935f40e5629e1a1d52c697169e7,2018-04-16 08:47:50-07:00,0.3061000990370909,0.8280144018285415
1.0,1.0,1.0,1.0,7.285714285714286,0.8571428571428571,4.428571428571429,1.5714285714285714,1.0,4.857142857142857,3.2857142857142856,0.0,,0.0,0.2857142857142857,,,,2.7142857142857144,0.5714285714285714,2.7142857142857144,15.714285714285714,0.0,1.1428571428571428,0.2857142857142857,1.2857142857142858,,40.0,7.285714285714286,19.142857142857142,3.857142857142857,11.285714285714286,13.714285714285714,,,,6.714285714285714,11.285714285714286,5.0,6.571428571428571,,,,,,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0,,1.7142857142857142,0.2857142857142857,,12.857142857142858,12.857142857142858,0.5314285714285715,3.0,3.0,3.0,2.7142857142857144,class,,,378466f35dfe1935f40e5629e1a1d52c697169e7,2018-04-16 08:47:50-07:00,0.3061000990370909,0.8280144018285415
,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,4.0,378466f35dfe1935f40e5629e1a1d52c697169e7,2018-04-16 08:47:50-07:00,0.3061000990370909,0.8280144018285415
,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,12.375,1.4166666666666667,9.125,1.0833333333333333,6.625,1.8333333333333333,3.2916666666666665,1.2916666666666667,0.0,3.9583333333333335,5.916666666666667,2.0416666666666665,4.375,1.2916666666666667,1.2916666666666667,1.375,1.0833333333333333,0.25,,,,,0.0833333333333333,,0.2083333333333333,0.0833333333333333,,,0.1845833333333333,1.2916666666666667,1.2916666666666667,1.375,1.0833333333333333,method,,,15cf10b62b1cbaac65234b297aa83d0aebd9851f,2018-04-16 18:44:29-07:00,0.3107802998274565,0.3827840116890994
1.0833333333333333,1.0833333333333333,1.1666666666666667,1.0,7.0,0.6666666666666666,5.333333333333333,1.0,1.1666666666666667,5.333333333333333,3.583333333333333,0.0,,0.0,0.5,,,,2.0,0.3333333333333333,2.0,15.0,0.0,0.6666666666666666,0.1666666666666666,1.1666666666666667,,33.833333333333336,4.583333333333333,21.33333333333333,3.583333333333333,15.25,8.166666666666666,,,,8.75,12.916666666666666,5.166666666666667,8.833333333333334,,,,,,1.4166666666666667,1.4166666666666667,1.5833333333333333,1.1666666666666667,,1.6666666666666667,0.4166666666666667,,6.0,5.666666666666667,0.2633333333333333,2.583333333333333,2.583333333333333,2.75,2.1666666666666665,class,,,15cf10b62b1cbaac65234b297aa83d0aebd9851f,2018-04-16 18:44:29-07:00,0.3107802998274565,0.3827840116890994
,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,3.0,15cf10b62b1cbaac65234b297aa83d0aebd9851f,2018-04-16 18:44:29-07:00,0.3107802998274565,0.3827840116890994
,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,13.285714285714286,1.0,10.571428571428571,1.1785714285714286,7.785714285714286,1.7142857142857142,3.9642857142857135,1.5,0.0,4.785714285714286,7.142857142857143,2.25,5.464285714285714,1.5,1.5,1.75,1.0714285714285714,0.25,,,,,0.0714285714285714,,0.3571428571428571,0.0714285714285714,,,0.1478571428571428,1.5,1.5,1.75,1.0714285714285714,method,,,4eb31f3609039a66713cb6b7df6e0b379fee6834,2018-04-18 10:25:04-07:00,0.3107802998274565,0.36914083380729723
1.2666666666666666,1.2666666666666666,1.5333333333333334,1.0,7.2,0.2666666666666666,5.933333333333334,0.8666666666666667,1.1333333333333333,6.133333333333334,3.933333333333333,0.0,,0.0,0.6666666666666666,,,,1.8666666666666667,0.3333333333333333,1.8666666666666667,14.866666666666667,0.0,0.6,0.1333333333333333,1.1333333333333333,,34.4,3.533333333333333,23.73333333333333,3.866666666666666,17.2,7.333333333333333,,,,10.066666666666666,14.866666666666667,5.533333333333333,10.6,,,,,,1.5333333333333334,1.5333333333333334,1.8,1.1333333333333333,,1.7333333333333334,0.5333333333333333,,5.4,5.266666666666667,0.2133333333333333,2.8,2.8,3.2666666666666666,2.0,class,,,4eb31f3609039a66713cb6b7df6e0b379fee6834,2018-04-18 10:25:04-07:00,0.3107802998274565,0.36914083380729723
,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,3.0,4eb31f3609039a66713cb6b7df6e0b379fee6834,2018-04-18 10:25:04-07:00,0.3107802998274565,0.36914083380729723
,,,,,,,,,,,,,,,,,,,,,,,,,,1.4736842105263157,10.052631578947368,1.631578947368421,5.842105263157895,0.7368421052631579,3.631578947368421,2.5789473684210527,1.5789473684210529,1.105263157894737,0.0,2.1578947368421053,3.684210526315789,1.368421052631579,2.3684210526315788,1.105263157894737,1.105263157894737,1.105263157894737,1.0,0.1052631578947368,,,,,0.0,,0.1052631578947368,0.0,,,0.5921052631578947,1.105263157894737,1.105263157894737,1.105263157894737,1.0,method,,,3614d443dee87b938b89b4ea4affd51d91e7579e,2018-04-18 13:50:23-07:00,0.3061000990370909,0.36914083380729723
